0,A,B,C,D,E,F,G,H,I,J,L,M,N,O,P,Q,S,T,U,V,W
2018-03-03,9625.171428571428,623658.4,6703.714285714285,1416488.9412999998,97293.70714285717,170207.64285714287,116076.97142857144,1985040.5714285716,2623096.285714286,398791.39922714286,413752.2342857142,447606.8510428572,1198062.857142857,1577912.2571428572,1398481.5,159451.68571428573,886108.7238,1705728.0,0.0,879991.3857142857,179663.93714285715
2018-03-04,7975.557142857143,623221.7000000001,6684.714285714285,1419267.466885714,97504.425,169550.5357142857,113783.8,1986942.5714285716,2636828.714285714,397735.2290985714,417840.18245428574,448876.2929142857,1209040.857142857,1591017.5428571426,1395322.0714285714,160955.58571428573,893847.9299857143,1708512.642857143,0.0,872072.6,178875.65428571426
2018-03-05,6927.642857142857,620184.6428571428,6625.428571428572,1411370.503057143,98080.40357142856,167307.17857142858,111002.54285714283,1983367.2857142857,2631224.4285714286,397746.46519285714,417075.4165228572,446295.2438,1214493.4285714286,1589834.4,1392357.75,159769.57142857142,897671.0877285714,1704112.607142857,0.0,869401.7428571429,176501.68714285715
2018-03-06,7429.128571428571,620866.4571428571,6659.714285714285,1416329.734457143,98262.0642857143,165664.48214285713,108316.1857142857,1983608.0,2627796.571428572,399953.2908357143,416591.97127,446796.1309714286,1223322.0,1595284.9857142854,1389399.4285714286,159584.0142857143,911319.1317142856,1697860.7142857143,0.0,872164.6571428571,175645.58142857143
2018-03-07,7290.3,622328.7142857143,6657.714285714285,1426482.8595285714,98374.71428571428,163868.01785714287,106153.37142857142,1984370.5714285716,2637461.4285714286,401037.34445,417808.7501385714,446809.1221571429,1230807.4285714286,1614784.642857143,1390947.0,161359.9,928941.4581285716,1691778.857142857,0.0,868422.9571428571,174488.08
2018-03-08,7639.142857142857,617320.0714285715,6750.714285714285,1419697.3565714285,96892.38214285715,160548.76785714287,103509.97142857144,1955568.4285714289,2610040.0,396998.9882942857,413228.37031857145,436976.9371657143,1216339.857142857,1601729.8285714283,1389337.0714285714,161658.57142857142,920837.8610142856,1681454.25,0.0,866372.8428571429,172442.04714285713
2018-03-09,8036.800000000001,610432.2428571429,6800.142857142857,1411246.956114286,95285.60357142858,157967.32142857142,100896.07142857143,1941812.857142857,2584902.285714286,396008.8749042857,411742.0486128571,434208.2418285714,1209489.0,1590630.2142857143,1385382.3214285714,163306.42857142858,924167.6205285717,1675123.9285714286,0.0,864930.3285714285,170061.17142857143
2018-03-10,8262.800000000001,606100.5857142856,6826.142857142857,1417864.8903428572,94489.60714285714,156463.26785714287,99759.41428571429,1939073.7142857143,2576640.1428571427,395463.1410685714,412024.47477714287,433468.2512142857,1213670.2857142857,1600926.3857142855,1383138.857142857,164879.97142857144,928457.5308428572,1672330.5,0.0,852857.6714285715,168295.10285714286
2018-03-11,7764.514285714285,604299.0,6762.857142857143,1417232.5903285716,93566.81785714286,154126.07142857142,99425.22857142855,1933599.857142857,2572197.0,393769.3506114286,412139.91357,434494.4939,1207005.7142857143,1595970.9,1381318.9285714286,164372.2285714286,925224.0237428572,1673952.857142857,0.0,850234.2142857143,165841.24142857143
2018-03-12,7236.528571428572,604791.9,6773.285714285715,1418075.4994285714,92746.91785714286,153556.7857142857,99687.21428571428,1927156.0,2569187.1428571427,395382.8106971429,411244.1804342857,434591.7341857143,1206468.5714285714,1596693.4,1385619.0,162518.47142857144,929802.5702571428,1675145.142857143,0.0,856828.7571428571,165444.57428571428
2018-03-13,6885.800000000001,603402.3857142858,6708.428571428572,1416515.1456000002,92292.16071428572,152693.44642857142,99291.97142857144,1917526.4285714289,2560614.0,392900.1949442857,411060.8810742857,434593.3855,1205684.142857143,1594179.6142857145,1383858.642857143,163650.7714285714,926738.0228,1671327.2142857143,0.0,849696.2000000001,163143.92714285714
2018-03-14,6798.2,600723.8285714285,6727.857142857143,1419315.5388428571,92518.00714285715,153015.0892857143,99396.67142857144,1925080.2857142857,2590498.1428571427,393437.1266142857,413511.0704642857,441727.6323714285,1213950.0,1605608.7857142857,1384950.107142857,163529.47142857144,929420.0612571428,1671925.1785714286,0.0,850137.3571428572,162951.24857142856
2018-03-15,5943.457142857143,599004.4857142858,6754.428571428572,1418210.843542857,92173.29642857144,153697.76785714287,98956.7,1929948.142857143,2584273.4285714286,392628.60412142857,410822.2892328571,445210.6455057143,1221471.7142857143,1601326.7857142857,1379910.3214285714,163421.5,933286.8697428572,1676798.5714285714,0.0,845255.8428571428,161614.42142857146
2018-03-16,6133.442857142857,602480.7571428573,6726.0,1429516.2440000002,92226.83571428571,154466.17857142858,98902.1857142857,1935381.0,2584708.285714286,395852.0850128572,416135.3652957143,450351.0993714286,1236434.0,1613457.8142857144,1378711.1785714286,162391.6,935751.7631571428,1672066.7142857143,0.0,848877.6857142858,161302.57
2018-03-17,7292.528571428571,603521.2571428571,6706.857142857143,1424314.6101142855,92247.82499999998,155482.1607142857,98489.84285714288,1937266.857142857,2593723.4285714286,393817.30737,412672.62492,450115.80255714286,1230581.2857142857,1605604.3285714288,1382497.8214285714,160372.24285714285,938537.7752142856,1658453.4642857143,0.0,847392.1571428571,160620.44142857142
2018-03-18,7308.228571428571,603056.8285714285,6719.142857142857,1418797.0745428572,91435.09285714288,156298.89285714287,98098.62857142858,1930191.2857142857,2573546.4285714286,393920.54447,411371.2662485714,447662.7597,1228197.4285714286,1601462.0571428572,1375743.9642857143,159746.0,938085.9416142856,1629700.1785714286,0.0,841533.8857142857,159663.10285714286
2018-03-19,7980.557142857143,600132.1428571428,6640.285714285715,1414150.9802285717,90712.14642857145,155925.125,97602.04285714286,1919682.7142857143,2556568.1428571427,392843.1908414285,407766.09604142857,447973.7520285714,1217866.142857143,1593416.357142857,1366001.0357142857,162024.54285714283,935494.4060142856,1618336.1785714286,0.0,833055.4142857142,157646.15285714282
2018-03-20,9188.857142857143,597623.7714285714,6633.0,1409140.526242857,90297.64285714286,156353.25,97492.17142857144,1917861.142857143,2553948.0,390985.0361328572,405495.2205057143,444223.5066428571,1221061.857142857,1593790.2857142857,1361666.7857142857,160720.74285714285,932660.0395285714,1613364.5357142857,0.0,831666.2,156699.7157142857
2018-03-21,9823.828571428572,594385.9714285715,6542.142857142857,1395576.3861714285,89508.26785714286,156155.51785714287,96776.48571428572,1904423.5714285716,2515997.0,388700.4543628572,402220.4697828571,437669.9973,1208978.142857143,1564309.257142857,1341711.2142857143,159233.31428571427,923311.3063857144,1591886.4642857143,0.0,821179.1571428571,153337.5442857143
2018-03-22,11178.114285714286,597776.4285714285,6561.142857142857,1400311.901757143,88004.21785714287,157281.17857142858,96707.14285714286,1903264.7142857143,2522334.1428571427,390320.4180928571,404531.95770714286,433989.29882857145,1207310.4285714286,1576638.242857143,1338375.5357142857,160548.2714285714,930778.2706285716,1577640.0,0.0,829331.9428571429,154621.77714285714
2018-03-23,10995.7,597230.5142857142,6541.571428571428,1395016.1130285712,88448.61428571427,158223.44642857142,96184.9,1904976.142857143,2530989.571428572,388607.1334457143,401865.0797628571,432036.2242571428,1203576.0,1571475.5285714285,1326913.607142857,158850.8714285714,930925.7324142858,1574521.8214285714,0.0,820690.0571428571,154168.80142857143
2018-03-24,10732.585714285711,596683.2999999999,6504.714285714285,1392289.5875285715,88224.92142857144,158743.01785714287,95914.94285714286,1902469.2857142857,2520336.571428572,389469.3488357143,404320.9164857143,433267.0586285714,1206664.142857143,1565589.157142857,1325562.107142857,158580.31428571427,928137.8417714284,1570719.0,0.0,820914.0142857144,153845.04571428572
2018-03-25,11890.585714285717,596114.6285714286,6501.142857142857,1399023.3878714286,88985.64642857143,159547.2857142857,96012.4,1918959.5714285716,2531427.285714286,390856.52175,405321.1962257143,432320.8513714285,1217394.142857143,1574969.357142857,1332659.5714285714,159721.2,935602.4646714284,1579667.0357142857,0.0,832564.8571428572,154664.77000000002
